resource,scg_id,description,condition_key,iso_27001,scg_6.x,scg_7,scg_8,vsan_hg,nsx-t_scg,(kein_alert),strictest_requirement,note
HostSystem,–,vSAN encryption is not enabled on ESXi host.,config|vsan|encryption,,,,,,,= Enabled,= Enabled,
ManagementService,–,NTP Service is not configured properly,security|NtpServersCount,,,,,,,≥ 3.0,≥ 3.0,
ManagementService,–,SSH Service is activated,security|SshEnabled,,,,,,,≠ true,≠ true,
NSXTAdapterInstance,–,NSX Manager's 'CLI Timeout' is not set to recommended value.,summary|ComplianceMetrics|CLITimeOutInSeconds,,,,,,= 600.0,,= 600.0,
NSXTAdapterInstance,–,NSX manager communication to LDAP server for authentication is not using LDAPS.,summary|ComplianceMetrics|LDAPServerConfiguredWithLDAPS,,,,,,≠ false,,≠ false,
NSXTAdapterInstance,–,NSX Manager's Auth Policy 'API Lockout Period' is not set to recommended value.,summary|ComplianceMetrics|authPolicy|apiAuthPolicy|failed_auth_lockout_period,,,,,,= 900.0,,= 900.0,
NSXTAdapterInstance,–,NSX Manager's Auth Policy 'API Maximum Auth Failures' is not set to recommended value.,summary|ComplianceMetrics|authPolicy|apiAuthPolicy|max_auth_failures,,,,,,= 3.0,,= 3.0,
NSXTAdapterInstance,–,NSX Manager's Auth Policy 'CLI Lockout Period' is not set to recommended value.,summary|ComplianceMetrics|authPolicy|cliAuthPolicy|failed_auth_lockout_period,,,,,,= 900.0,,= 900.0,
NSXTAdapterInstance,–,NSX Manager's Auth Policy 'CLI Maximum Auth Failures' is not set to recommended value.,summary|ComplianceMetrics|authPolicy|cliAuthPolicy|max_auth_failures,,,,,,= 3.0,,= 3.0,
NSXTAdapterInstance,–,NSX Manager hasn't enforced a minimum 12-character password length.,summary|ComplianceMetrics|authPolicy|minimum_password_length,,,,,,= 12.0,,= 12.0,
NSXTAdapterInstance,–,NSX Manager is configured to conduct backups.,summary|ComplianceMetrics|backup_enabled,,,,,,≠ false / ≠ true,,true,"NSX-T backup must be enabled (symptom defined twice, direction manually verified)."
NSXTAdapterInstance,–,SFTP server not configured for backup.,summary|ComplianceMetrics|backup_sftp_configured,,,,,,≠ false,,≠ false,
NSXTAdapterInstance,–,NSX Manager Hardening is disabled,summary|ComplianceMetrics|hardening_status,,,,,,≠ false,,≠ false,
NSXTAdapterInstance,–,TLS v1.1 is enabled.,summary|ComplianceMetrics|tls_v1dot1_enabled,,,,,,≠ true,,≠ true,
VMwareAdapter Instance,–,ISO 27001-27002 - CONFIGURATION SETTINGS-The system must enable SSL for Network File Copy (NFC).,summary|nfcusessl,,,,,,,≠ false,≠ false,
VMwareAdapter Instance,–,SSH Access is not restricted,vc_appliance|hasAccessSSH,,,≠ true,≠ true,,,,≠ true,
VMwareAdapter Instance,–,vCenter.set-remote-logging - Remote logging is not enabled,vc_appliance|hasLoggingForwardingConfigs,,,≠ false,≠ false,,,,≠ false,
VMwareAdapter Instance,–,vCenter.set-file-based-backup-recovery - File-Based Backup and Recovery is not Configured,vc_appliance|hasRecoveryBackupJobs,,,≠ false,≠ false,,,,≠ false,
VMwareAdapter Instance,–,The number of Network interface controllers is violating the recommended value,vc_appliance|networkNICs,,,≤ 1.0,≤ 1.0,,,,≤ 1.0,
VMwareAdapter Instance,–,vCenter.set-time-keeping - Configure vCenter Server timekeeping,vc_appliance|timeSyncMode,,,= NTP,= NTP,,,,= NTP,
VirtualMachine,–,Virtual machine does not comply with to storage policy.,vsan|policy|compliance,,,,,,,= Compliant,= Compliant,
